date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:50:17	971/971	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a3e10c71ac14f74e1b70ac3d4fedd868%22	https://discord.com/assets/a3e10c71ac14f74e1b70ac3d4fedd868.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/a3e10c71ac14f74e1b70ac3d4fedd868.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:18	2281/2281	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228f79e7f01dbb1afeb122cb3e8c4a342f%22	https://discord.com/assets/8f79e7f01dbb1afeb122cb3e8c4a342f.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/8f79e7f01dbb1afeb122cb3e8c4a342f.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:18	5951/5951	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f203f5736b9aa0178751342dcc73548a%22	https://discord.com/assets/f203f5736b9aa0178751342dcc73548a.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/f203f5736b9aa0178751342dcc73548a.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:18	3619/3619	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227dfacc7529214e45b9e3cfd50979edea%22	https://discord.com/assets/7dfacc7529214e45b9e3cfd50979edea.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/7dfacc7529214e45b9e3cfd50979edea.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:18	2280/2280	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22fcffc6cc34b642da86558cee621bee64%22	https://discord.com/assets/fcffc6cc34b642da86558cee621bee64.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/fcffc6cc34b642da86558cee621bee64.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:19	5408/5408	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264daebd4b8234f71908162347e3f8cd0%22	https://discord.com/assets/64daebd4b8234f71908162347e3f8cd0.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/64daebd4b8234f71908162347e3f8cd0.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:19	3616/3616	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b937b563ed01b661b5431a3eb5b9c476%22	https://discord.com/assets/b937b563ed01b661b5431a3eb5b9c476.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/b937b563ed01b661b5431a3eb5b9c476.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:19	7061/7061	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ee9dc7a136bd13d79c5c995d36a255d5%22	https://discord.com/assets/ee9dc7a136bd13d79c5c995d36a255d5.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/ee9dc7a136bd13d79c5c995d36a255d5.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:19	7034/7034	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2266b66e8ee672e7d5c3edd7d139efe166%22	https://discord.com/assets/66b66e8ee672e7d5c3edd7d139efe166.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/66b66e8ee672e7d5c3edd7d139efe166.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:19	334/334	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221e1068ac8e8da6dff09d86fbbbd7622f%22	https://discord.com/assets/1e1068ac8e8da6dff09d86fbbbd7622f.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/1e1068ac8e8da6dff09d86fbbbd7622f.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
